Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Fit Runtime (s),Evaluate Runtime (s),Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
45,0.03995825668887661,0.03563744634171016,0.06978221686177741,0.8959634566980517,0.8932203389830509,0.8959,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
46,0.04203953717571833,0.03534399429106852,0.0744504366549733,0.8895419348819853,0.8847457627118644,0.897,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
47,0.03617243854115891,0.03550685614204267,0.07492439600095349,0.8894486425972572,0.902542372881356,0.899,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
48,0.03842048164046669,0.03529771911529824,0.06839473434094108,0.8966225041985445,0.8915254237288136,0.8982,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
49,0.036015929778449834,0.03507008892548038,0.07058097048021512,0.8951785880816936,0.9101694915254237,0.8995,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
50,0.04209301120172313,0.034820077366079207,0.0697825928625701,0.8961656870976771,0.8940677966101694,0.8991,11.0,1.0,diag_mc,0.01,4,100,20,20,100.0,DiagGGNMC,FMNIST,CNN,/2024-03-19/18-07-00
1,0.12511776329602226,0.11695920490324498,0.393226840394165,0.42370826338369705,0.7110169491525423,0.7202,65.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
2,0.09408474106152179,0.08464885946586728,0.2329724487082324,0.648320895522388,0.7347457627118644,0.7363,63.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
3,0.0869550967873153,0.07645160513557493,0.19314548209673868,0.7047681254082299,0.7677966101694915,0.7678,63.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
4,0.06832658627338833,0.06977378769312054,0.17340890536289896,0.7338431409120582,0.8254237288135593,0.7888,66.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
5,0.06604920931918136,0.06518589982688427,0.15959110167792975,0.7527985074626866,0.8101694915254237,0.7977,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
6,0.06791941928282633,0.062337915382627396,0.14981135797607573,0.772863008585293,0.8135593220338984,0.8078,66.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
